integer_partition(1, 1)=1, 0.7152557373046875 μs
integer_partition_dp(1, 1)=1, 4.0531158447265625 μs
integer_partition(2, 2)=2, 0.95367431640625 μs
integer_partition_dp(2, 2)=2, 4.5299530029296875 μs
integer_partition(3, 3)=3, 0.95367431640625 μs
integer_partition_dp(3, 3)=3, 4.76837158203125 μs
integer_partition(4, 4)=5, 2.1457672119140625 μs
integer_partition_dp(4, 4)=5, 3.814697265625 μs
integer_partition(5, 5)=7, 1.1920928955078125 μs
integer_partition_dp(5, 5)=7, 4.0531158447265625 μs
integer_partition(6, 6)=11, 1.1920928955078125 μs
integer_partition_dp(6, 6)=11, 4.76837158203125 μs
integer_partition(7, 7)=15, 1.6689300537109375 μs
integer_partition_dp(7, 7)=15, 5.9604644775390625 μs
integer_partition(8, 8)=22, 2.6226043701171875 μs
integer_partition_dp(8, 8)=22, 7.3909759521484375 μs
integer_partition(9, 9)=30, 3.337860107421875 μs
integer_partition_dp(9, 9)=30, 7.62939453125 μs
integer_partition(10, 10)=42, 3.814697265625 μs
integer_partition_dp(10, 10)=42, 9.298324584960938 μs
integer_partition(11, 11)=56, 5.0067901611328125 μs
integer_partition_dp(11, 11)=56, 11.205673217773438 μs
integer_partition(12, 12)=77, 6.9141387939453125 μs
integer_partition_dp(12, 12)=77, 11.682510375976562 μs
integer_partition(13, 13)=101, 9.059906005859375 μs
integer_partition_dp(13, 13)=101, 13.3514404296875 μs
integer_partition(14, 14)=135, 12.159347534179688 μs
integer_partition_dp(14, 14)=135, 15.020370483398438 μs
integer_partition(15, 15)=176, 15.2587890625 μs
integer_partition_dp(15, 15)=176, 16.689300537109375 μs
integer_partition(16, 16)=231, 22.172927856445312 μs
integer_partition_dp(16, 16)=231, 25.987625122070312 μs
integer_partition(17, 17)=297, 30.279159545898438 μs
integer_partition_dp(17, 17)=297, 28.133392333984375 μs
integer_partition(18, 18)=385, 48.160552978515625 μs
integer_partition_dp(18, 18)=385, 54.35943603515625 μs
integer_partition(19, 19)=490, 71.04873657226562 μs
integer_partition_dp(19, 19)=490, 41.484832763671875 μs
integer_partition(20, 20)=627, 93.93692016601562 μs
integer_partition_dp(20, 20)=627, 40.76957702636719 μs
integer_partition(21, 21)=792, 99.42054748535156 μs
integer_partition_dp(21, 21)=792, 41.961669921875 μs
integer_partition(22, 22)=1002, 118.97087097167969 μs
integer_partition_dp(22, 22)=1002, 35.52436828613281 μs
integer_partition(23, 23)=1255, 120.63980102539062 μs
integer_partition_dp(23, 23)=1255, 45.06111145019531 μs
integer_partition(24, 24)=1575, 149.25003051757812 μs
integer_partition_dp(24, 24)=1575, 44.58427429199219 μs
integer_partition(25, 25)=1958, 185.96649169921875 μs
integer_partition_dp(25, 25)=1958, 45.299530029296875 μs
integer_partition(26, 26)=2436, 229.12025451660156 μs
integer_partition_dp(26, 26)=2436, 48.63739013671875 μs
integer_partition(27, 27)=3010, 292.77801513671875 μs
integer_partition_dp(27, 27)=3010, 56.02836608886719 μs
integer_partition(28, 28)=3718, 350.9521484375 μs
integer_partition_dp(28, 28)=3718, 55.789947509765625 μs
integer_partition(29, 29)=4565, 457.2868347167969 μs
integer_partition_dp(29, 29)=4565, 61.27357482910156 μs
